tier,level,n_reviews,doi,title,authors,journal,year,type,publisher,why_full_text_needed,target_folder
T1,7,2,10.1109/tie.2016.2586020,Lifetime Monitoring of Electrolytic Capacitor to Maximize Earnings From Grid-Feeding PV System,Agarwal Nikunj; Arya Abhinav; Ahmad Md Waseem; Anand Sandeep,IEEE Transactions on Industrial Electronics,2016,journal-article,IEEE Xplore,Section 5-6 prognostics chapter: the entire evidence base,04_SOH_RUL_Prognostics
T1,7,1,10.1109/phm.2011.5939474,Degradation model and maintenance strategy of the electrolytic capacitors for electronics applications,Yuege Zhou; Xuerong Ye; Guofu Zhai,2011 Prognostics and System Health Managment Confernece,2011,proceedings-article,Elsevier / other,Section 5-6 prognostics chapter: the entire evidence base,04_SOH_RUL_Prognostics
T1,6,6,10.1109/tia.2010.2049972,A Real-Time Predictive-Maintenance System of Aluminum Electrolytic Capacitors Used in Uninterrupted Power Supplies,Abdennadher Karim; Venet Pascal; Rojat Gérard; Retif Jean-Marie et al.,IEEE Transactions on Industry Applications,2010,journal-article,IEEE Xplore,Section 5-6 prognostics chapter: the entire evidence base,04_SOH_RUL_Prognostics
T1,6,4,10.1109/tia.2005.858258,Life Prediction Modeling of Bus Capacitors in AC Variable-Frequency Drives,Gasperi M.L.,IEEE Transactions on Industry Applications,2005,journal-article,IEEE Xplore,Section 5-6 prognostics chapter: the entire evidence base,04_SOH_RUL_Prognostics
T1,6,3,10.1109/tpel.2018.2865710,Mission Profile Based Reliability Evaluation of Capacitor Banks in Wind Power Converters,Zhou Dao; Song Yipeng; Liu Yang; Blaabjerg Frede,IEEE Transactions on Power Electronics,2019,journal-article,IEEE Xplore,Section 5-6 prognostics chapter: the entire evidence base,04_SOH_RUL_Prognostics
T1,6,2,10.1109/tie.2016.2581156,PoF-Simulation-Assisted Reliability Prediction for Electrolytic Capacitor in LED Drivers,Sun Bo; Fan Xuejun; Qian Cheng; Zhang Guoqi,IEEE Transactions on Industrial Electronics,2016,journal-article,IEEE Xplore,Section 5-6 prognostics chapter: the entire evidence base,04_SOH_RUL_Prognostics
T1,6,2,10.1177/1687814018781170,An intelligent prognostic model for electrolytic capacitors health monitoring: A design of experiments approach,Bhargava Cherry; Banga Vijay Kumar; Singh Yaduvir,Advances in Mechanical Engineering,2018,journal-article,Elsevier / other,Section 5-6 prognostics chapter: the entire evidence base,04_SOH_RUL_Prognostics
T1,6,1,10.1109/tpel.2014.2360662,"Computationally Efficient, Real-Time, and Embeddable Prognostic Techniques for Power Electronics",Alghassi Alireza; Perinpanayagam Suresh; Samie Mohammad; Sreenuch Tarapong,IEEE Transactions on Power Electronics,2015,journal-article,IEEE Xplore,Section 5-6 prognostics chapter: the entire evidence base,04_SOH_RUL_Prognostics
T1,6,1,10.1109/ias.1996.559241,Life prediction model for aluminum electrolytic capacitors,Gasperi M.L.,IAS '96. Conference Record of the 1996 IEEE Industry Applications Conference Thirty-First ,,proceedings-article,IEEE Xplore,Section 5-6 prognostics chapter: the entire evidence base,04_SOH_RUL_Prognostics
T1,6,1,10.1109/apec.2010.5433384,A life prediction scheme for electrolytic capacitors in power converters without current sensor,Pang H. M.; Bryan Pong M. H.,2010 Twenty-Fifth Annual IEEE Applied Power Electronics Conference and Exposition (APEC),2010,proceedings-article,IEEE Xplore,Section 5-6 prognostics chapter: the entire evidence base,04_SOH_RUL_Prognostics
T1,6,1,10.1109/tps.2013.2243476,Lifetime Prediction of Metallized Film Capacitors Based on Capacitance Loss,Li Zhiwei; Li Hua; Lin Fuchang; Chen Yaohong et al.,IEEE Transactions on Plasma Science,2013,journal-article,IEEE Xplore,Section 5-6 prognostics chapter: the entire evidence base,04_SOH_RUL_Prognostics
T1,6,1,10.1049/iet-pel.2015.0636,Fractional order equivalent series resistance modelling of electrolytic capacitor and fractional order failure prediction with application to predictive maintenance,Malek Hadi; Dadras Sara; Chen Yangquan,IET Power Electronics,2016,journal-article,IET,Section 5-6 prognostics chapter: the entire evidence base,04_SOH_RUL_Prognostics
T1,6,1,10.1016/j.microrel.2018.05.020,Adaptive and robust prediction for the remaining useful life of electrolytic capacitors,Qin Qi; Zhao Shuai; Chen Shaowei; Huang Dengshan et al.,Microelectronics Reliability,2018,journal-article,Elsevier / other,Section 5-6 prognostics chapter: the entire evidence base,04_SOH_RUL_Prognostics
T1,6,1,10.1016/j.microrel.2023.114928,A remaining useful life prediction method of aluminum electrolytic capacitor based on wiener process and similarity measurement,Zhao Jin; Zhou Yang; Zhu Qi; Song Yujin et al.,Microelectronics Reliability,2023,journal-article,Elsevier / other,Section 5-6 prognostics chapter: the entire evidence base,04_SOH_RUL_Prognostics
T1,6,1,10.1109/tdmr.2011.2162517,Prognostics of Multilayer Ceramic Capacitors Via the Parameter Residuals,Sun Jianzhong; Cheng Shunfeng; Pecht Michael,IEEE Transactions on Device and Materials Reliability,2012,journal-article,IEEE Xplore,Section 5-6 prognostics chapter: the entire evidence base,04_SOH_RUL_Prognostics
T1,6,1,10.2514/6.2011-1519,Towards Prognostics of Electrolytic Capacitors,Celaya Jose; Kulkarni Chetan; Goebel Kai; Biswas Gautam,Infotech@Aerospace 2011,2011,proceedings-article,Elsevier / other,Section 5-6 prognostics chapter: the entire evidence base,04_SOH_RUL_Prognostics
T1,6,1,10.1109/med48518.2020.9182829,Zonotopic Extended Kalman Filter For RUL Forecasting With Unknown Degradation Behaviors,Al-Mohamad Ahmad; Puig Vicenc; Hoblos Ghaleb,2020 28th Mediterranean Conference on Control and Automation (MED),2020,proceedings-article,Elsevier / other,Section 5-6 prognostics chapter: the entire evidence base,04_SOH_RUL_Prognostics
T2,4,4,10.1109/tie.2018.2880725,Health Estimation of Individual Capacitors in a Bank With Reduced Sensor Requirements,Gupta Yugal; Ahmad Md. Waseem; Narale Sagar; Anand Sandeep,IEEE Transactions on Industrial Electronics,2019,journal-article,IEEE Xplore,diagnosis/severity rungs of the capability ladder,03_CM_ParameterEstimation
T2,3,6,10.1109/63.261004,Use of ESR for deterioration diagnosis of electrolytic capacitor,Harada K.; Katsuki A.; Fujiwara M.,IEEE Transactions on Power Electronics,1993,journal-article,IEEE Xplore,diagnosis/severity rungs of the capability ladder,03_CM_ParameterEstimation
T2,3,6,10.1109/2943.974353,Realization of a Smart: Electrolytic Capacitor Circuit: Electrolytic Capacitor Circuits that can Signal their Own Worn-Out State Have Arrived,Venet P.; Perisse F.; El-Husseini M. H.; Rojat G.,IEEE Industry Applications Magazine,2002,journal-article,IEEE Xplore,diagnosis/severity rungs of the capability ladder,03_CM_ParameterEstimation
T2,3,5,10.1109/tie.2012.2218561,Fault Diagnosis of DC-Link Capacitors in Three-Phase AC/DC PWM Converters by Online Estimation of Equivalent Series Resistance,Pu Xing-Si; Nguyen Thanh Hai; Lee Dong-Choon; Lee Kyo-Beum et al.,IEEE Transactions on Industrial Electronics,2013,journal-article,IEEE Xplore,diagnosis/severity rungs of the capability ladder,03_CM_ParameterEstimation
T2,3,4,10.1109/63.728347,Failure prediction of electrolytic capacitors during operation of a switchmode power supply,Lahyani A.; Venet P.; Grellet G.; Viverge P.-J.,IEEE Transactions on Power Electronics,1998,journal-article,IEEE Xplore,diagnosis/severity rungs of the capability ladder,03_CM_ParameterEstimation
T2,3,4,10.1109/tie.2007.903975,Online Failure Prediction of the Electrolytic Capacitor for LC Filter of Switching-Mode Power Converters,Chen Yaow-Ming; Wu Hsu-Chin; Chou Ming-Wei; Lee Kung-Yen,IEEE Transactions on Industrial Electronics,2008,journal-article,IEEE Xplore,diagnosis/severity rungs of the capability ladder,03_CM_ParameterEstimation
T3,2,6,10.1109/tia.2012.2222333,Condition Monitoring of DC-Link Capacitors in Aerospace Drives,Wechsler Andrew; Mecrow Barrie C.; Atkinson David J.; Bennett John W. et al.,IEEE Transactions on Industry Applications,2012,journal-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,5,10.1109/tpel.2010.2059713,Life-Cycle Monitoring and Voltage-Managing Unit for DC-Link Electrolytic Capacitors in PWM Converters,Vogelsberger Markus A.; Wiesinger Thomas; Ertl Hans,IEEE Transactions on Power Electronics,2011,journal-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,5,10.1109/tie.2009.2022077,A Simple Offline Technique for Evaluating the Condition of Aluminum–Electrolytic–Capacitors,Amaral A.M.R.; Cardoso A.J.M.,IEEE Transactions on Industrial Electronics,2009,journal-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,5,10.1109/tpel.2017.2736162,Quasi-Online Technique for Health Monitoring of Capacitor in Single-Phase Solar Inverter,Agarwal Nikunj; Ahmad Md Waseem; Anand Sandeep,IEEE Transactions on Power Electronics,2018,journal-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,5,10.1109/pesc.2005.1582040,A Real Time Method to Estimate Electrolytic Capacitor Condition in PWM Adjustable Speed Drives and Uninterruptible Power Supplies,Aeloiza E.; Jang-Hwan Kim; Enjeti P.; Ruminot P.,"IEEE 36th Conference on Power Electronics Specialists, 2005.",,proceedings-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
