doi,level_final,terminal_output,confidence,cap_type,method,priority,title,authors,journal,year,type,citations,venue_swept,source
10.1109/jestpe.2020.2981806,6,Predicted lifetime of the submodule film capacitor,high,metallized polypropylene film capacitor (MMC submodule),Finite-element electro-thermal hot-spot modelling coupled to an empirical (Arrhe,P1,Lifetime Analysis of Metallized Polypropylene Capacitors in Modular Multilevel Converter Based on Finite Element Method,Yao Ran; Li Hui; Lai Wei; Bahman Amir Sajjad,IEEE Journal of Emerging and Selected Topics in Power Electronics,2021,journal-article,43,IEEE JESTPE,SUPPLEMENTARY
10.1016/j.microrel.2013.06.005,6,predicted capacitor lifetime (time/shot count to failure) under given operating stress,high,metallized polypropylene film capacitor (pulsed-power),accelerated life testing with inverse-power-law lifetime model over operational ,P2,Lifetime investigation and prediction of metallized polypropylene film capacitors,Li Zhiwei; Li Hua; Lin Fuchang; Chen Yaohong,Microelectronics Reliability,2013,journal-article,42,Microelectronics Reliability,SUPPLEMENTARY
10.1109/jestpe.2020.3000130,6,Estimated lifetime (Bx life) of the DC-link capacitor bank,high,DC-link capacitor bank (railway traction drive),Mission-profile-based electro-thermal stress analysis with lifetime model and Mo,P1,Electrothermal Stress Analysis and Lifetime Evaluation of DC-Link Capacitor Banks in the Railway Traction Drive System,Yao Bo; Ge Xinglai; Xie Dong; Li Songtao,IEEE Journal of Emerging and Selected Topics in Power Electronics,2021,journal-article,42,IEEE JESTPE,SUPPLEMENTARY
10.1109/jestpe.2020.3001604,6,Lifetime distribution (Bx lifetime / unreliability curve) of the film capacitor,high,metallized film capacitor,Mission-profile accumulated-damage lifetime model with nonlinear ESR aging feedb,P1,Reliability Modeling for Metallized Film Capacitors Based on Time-Varying Stress Mission Profile and Aging of ESR,Lv Chunlin; Liu Jinjun; Zhang Yan; Lei Wanjun,IEEE Journal of Emerging and Selected Topics in Power Electronics,2021,journal-article,32,IEEE JESTPE,SUPPLEMENTARY
10.1016/j.microrel.2022.114755,6,Estimated capacitor lifetime (time-to-failure) under given temperature/humidity stress,high,metallized polypropylene film capacitor,Accelerated life testing (temperature + humidity) with failure-mechanism analysi,P1,Failure mechanism and life estimate of metallized film capacitor under high temperature and humidity,Tai Yunxiao; Chen Pengqi; Jian Yang; Fang Qingqing,Microelectronics Reliability,2022,journal-article,29,Microelectronics Reliability,SUPPLEMENTARY
10.1016/j.microrel.2015.06.099,6,Estimated capacitor lifetime in hours at each temperature/voltage stress condition,high,Metallized polymer film (high-voltage high-temperature dielectric),Accelerated ageing of 30 capacitors at multiple temperature/voltage stresses; fi,P2,Lifetime estimation of high-temperature high-voltage polymer film capacitor based on capacitance loss,Makdessi M.; Sari A.; Venet P.; Aubard G.,Microelectronics Reliability,2015,journal-article,28,Microelectronics Reliability,SUPPLEMENTARY
10.1016/j.microrel.2020.113892,6,Predicted lifetime of the metallized film capacitor,high,metallized film capacitor,Harmonic-resolved electro-thermal stress calculation coupled to a degradation-pr,P1,An improved lifetime prediction method for metallized film capacitor considering harmonics and degradation process,Lv Chunlin; Liu Jinjun; Zhang Yan; Lei Wanjun,Microelectronics Reliability,2020,journal-article,25,Microelectronics Reliability,SUPPLEMENTARY
10.1109/tdmr.2024.3407855,6,predicted capacitor-bank lifetime (hours) and an optimized structural design,high,"metallized film (DC-link, EV traction inverter)",electrothermal PoF lifetime model with material aging + FEM structural optimizat,P2,A Novel Lifetime Estimation Method and Structural Optimization Design for Film Capacitors in EVs Considering Material Aging and Power Losses,Kuang Kaining; Guo Xinhua; Li Chunzhen; Li Xiuwan,IEEE Transactions on Device and Materials Reliability,2024,journal-article,20,IEEE Trans. Device and Materials Reliability,SUPPLEMENTARY
10.1016/j.microrel.2020.113725,6,Time-to-failure / accelerated life model for the polymer aluminium capacitor,high,multilayer polymer aluminium electrolytic capacitor,Temperature-humidity-bias accelerated life testing with failure-mode analysis an,P2,Reliability analysis of multilayer polymer aluminum electrolytic capacitors,Romero Jose; Azarian Michael H.; Pecht Michael,Microelectronics Reliability,2020,journal-article,18,Microelectronics Reliability,SUPPLEMENTARY
10.1016/j.microrel.2019.113401,6,failure-time probability density function (lifetime prediction) with confidence interval,high,DC film,"Non-stationary gamma degradation process with random effects, maximum-likelihood",P1,Degradation modeling for reliability estimation of DC film capacitors subject to humidity acceleration,Zhao Shuai; Chen Shaowei; Wang Huai,Microelectronics Reliability,2019,journal-article,18,Microelectronics Reliability,SUPPLEMENTARY
10.1016/j.microrel.2018.06.027,6,estimated lifetime (service hours) of the electrolytic capacitor in the LED driver,high,aluminum electrolytic (flyback LED driver),Parameter-shift-aware electro-thermal circuit modelling + empirical Al-Cap lifet,P2,Lifetime prediction of aluminum electrolytic capacitors in LED drivers considering parameter shifts,Niu H.; Wang S.; Ye X.; Wang H.,Microelectronics Reliability,2018,journal-article,16,Microelectronics Reliability,SUPPLEMENTARY
10.36001/phmconf.2011.v3i1.2004,6,remaining useful life prediction (time to end of life),high,aluminium electrolytic,"empirical degradation model + Kalman filter, electrical-overstress accelerated a",P1,A Model-based Prognostics Methodology for Electrolytic Capacitors Based on Electrical Overstress Accelerated Aging,R. Celaya Jose ́; Kulkarni Chetan; Biswas Gautam; Saha Sankalita,Annual Conference of the PHM Society,2011,journal-article,15,"PHM Society (all: PHM Conf, PHME, IJPHM, PHM",SUPPLEMENTARY
10.1109/tr.2024.3421329,6,converter failure rate / MTTF (and its sensitivity to operating parameters),medium,switched-capacitor cell capacitors,analytical part-count/part-stress failure-rate reliability modelling with parame,P3,Comprehensive Reliability Review and Assessment of Switched-Capacitor Step-Up DC–DC Converters,Eslamloo Milad Khoubrooy; Varesi Kazem; Tarzamni Hadi; Lee Sze Sing,IEEE Transactions on Reliability,2025,journal-article,14,IEEE Trans. Reliability,SUPPLEMENTARY
10.1016/j.microrel.2021.114277,6,Reliability function / lifetime (first-passage-time) distribution of the film capacitor,medium,DC film capacitor,Copula-coupled random-effect nonlinear Wiener process degradation modelling with,P2,Reliability assessment of film capacitors oriented by dependent and nonlinear degradation considering three-source uncertainties,Ye Xuerong; Hu Yifan; Zheng Bokai; Chen Cen,Microelectronics Reliability,2021,journal-article,13,Microelectronics Reliability,SUPPLEMENTARY
10.1016/j.microrel.2019.113491,6,B1 lifetime of the dc-link capacitor for each loss-model variant,high,"aluminum electrolytic (dc-link, PV inverter)",Benchmark of constant / temperature- / frequency- / frequency-and-temperature-de,P2,Benchmarking of capacitor power loss calculation methods for wear-out failure prediction in PV inverters,Lenz João M.; Cupertino Allan F.; Pereira Heverton A.; Zhou Dao,Microelectronics Reliability,2019,journal-article,12,Microelectronics Reliability,SUPPLEMENTARY
10.1016/j.microrel.2019.113439,6,estimated inverter/dc-link-capacitor lifetime (unreliability curve) under the proposed control law,medium,dc-link capacitor (with power devices) in PV inverter,Reliability-oriented adaptive dc-link voltage control + mission-profile electro-,P3,Adaptive dc-link voltage control strategy to increase PV inverter lifetime,Callegari J.M.S.; Cupertino A.F.; Ferreira V.N.; Brito E.M.S.,Microelectronics Reliability,2019,journal-article,12,Microelectronics Reliability,SUPPLEMENTARY
10.1109/jestpe.2025.3546654,6,predicted lifetime (target-lifetime figure) of the DC-link capacitor bank and power devices for a given bank + cooling design,high,"DC-link capacitor bank (electrolytic/film, series-parallel)",mission-profile electrothermal simulation + wear-out lifetime models + multi-obj,P2,Reliability-Oriented Design of NPC Inverter in PV Systems With Focus on Lifetimes of DC-Link Capacitor Bank and Power Devices,Yeo Gahyeon; Choi Ui-Min,IEEE Journal of Emerging and Selected Topics in Power Electronics,2025,journal-article,8,IEEE JESTPE,SUPPLEMENTARY
10.36001/ijphm.2012.v3i2.1364,6,remaining useful life (time-to-failure) of the capacitor,high,aluminum electrolytic,"Model-based: empirical state-based degradation model + Kalman filter, electrical",P1,Towards A Model-based Prognostics Methodology for Electrolytic Capacitors: A Case Study Based on Electrical Overstress Accelerated Aging,Celaya Jos´e R.; Kulkarni Chetan S.; Biswas Gautam; Goebel Kai,International Journal of Prognostics and Health Management,2020,journal-article,8,"PHM Society (all: PHM Conf, PHME, IJPHM, PHM",SUPPLEMENTARY
10.1016/j.microrel.2024.115509,6,remaining useful life of the capacitor,high,aluminum electrolytic,adaptive selection among competing degradation models + degradation-trajectory e,P1,A remaining useful life prediction method of aluminum electrolytic capacitor with adaptive degradation model selection,Chen Jindian; Miao Jigui; Yin Quan,Microelectronics Reliability,2024,journal-article,6,Microelectronics Reliability,SUPPLEMENTARY
10.1016/j.microrel.2024.115506,6,predicted time-to-failure (lifespan) of the driver under a given thermal profile,high,aluminum electrolytic (LED driver output stage),thermal/power-cycling accelerated life testing + inverse-exponential temperature,P2,Modeling LED driver lifespan through capacitor degradation due to thermal cycling,De Vas Gunawardena Sachintha; Narendran Nadarajah,Microelectronics Reliability,2024,journal-article,6,Microelectronics Reliability,SUPPLEMENTARY
